,Authors,ISBN,ISBN-13,Language,Publisher,Title,Year
2355,Russell Martin,076790351X,9780767903516,en,Broadway,Beethoven's Hair,2001
2356,Roger D. Masters,0452280907,9780452280908,,Plume,Fortune is a river: Leonardo da Vinci and Niccolò Machiavelli's magnificent dream to change the course of Florentine history,1999
2357,Alice Hoffman,0425167313,9780425167311,,Berkley Books,Here on Earth,1998
2358,Ellen Gilchrist,0316314641,9780316314640,en,Little Brown & Company,Rhoda: A Life In Stories,1995
2359,Michael Crichton,034540288X,9780345402882,,Ballantine Books,The lost world: a novel,1996
2360,Andy Meisler,0061073091,9780061073090,,HarperEntertainment,Resist or serve,1999
2361,Michael Chabon,0786808772,9780786808779,,Miramax Books/Hyperion Books for Children,Summerland,2002
2362,Anne McCaffrey,0553234609,9780553234602,en,Spectra,Dragonsong,1977
2363,Anne McCaffrey,0553258540,9780553258547,,Bantam Books,Dragonsinger,1986
2364,Ross King,0802713661,9780802713667,,Penguin Books,Brunelleschi's dome: how a Renaissance genius reinvented architecture,2001
2365,Lois Lowry,0440237688,9780440237686,,Laurel Leaf Books,The giver,2002
2366,Marc Tolon Brown,0679884394,9780679884392,,Random House,D.W.'s color book,1997
2367,Writer's Digest Books (Firm),1582970262,9781582970264,,Writer's Digest Books,The writer's complete fantasy reference: an indispensable compendium of myth and magic,1998
2368,Elaine Weinmann,1566091446,9781566091442,,Peachpit Press,Photoshop 3 for Macintosh,1995
2369,Charles Sheffield,0553577395,9780553577396,,Spectra,Starfire,2000
2370,Lois McMaster Bujold,0671698419,9780671698416,,Baen Books,Borders of infinity,1989
2371,Iain Pears,0425167720,9780425167724,,Berkley Books,An instance of the fingerpost,1999
2372,John Barnes,006105660X,9780061056604,,Harper Prism,Washington's dirigible,1997
2373,Jean M. Auel,0609610597,9780609610596,en,Crown Pub,The Shelters Of Stone,2002
2374,David Baldacci,0446519960,9780446519960,,Warner Books,Absolute power,1996
2375,Scott Turow,0374281602,9780374281601,,"Farrar, Straus, Giroux",Reversible errors,2002
2376,Joan Cleveland,0140251839,9780140251838,,Penguin Books,Everything you need to know about retirement housing: finding the right place at the right time,1996
2377,Wilson Simmons,0399519831,9780399519833,en,Perigee,Inside Corporate America: A Guide For African-Americans,1996
2378,Sherwood Kiraly,0425159795,9780425159798,,,California rush: a novel,
2379,Frank DeCaro,0140255370,9780140255379,,Penguin (Non-Classics),A boy named Phyllis: a suburban memoir,1997
2380,Robert Ludlum,0394543971,9780394543970,en,Random House Value Pub,The Icarus Agenda,1988
2381,Oliver W. Sacks,0060970790,9780060970796,,Perennial Library,The man who mistook his wife for a hat and other clinical tales,1990
2382,Virginia Woolf,0156787334,9780156787338,en,Houghton Mifflin Harcourt,A Room Of One's Own,1929
2383,Carolyn Keene,0448095300,9780448095301,,Grosset & Dunlap,The clue of the velvet mask,1953
2384,Akihito Toda,1569314195,9781569314197,,VIZ Media LLC,Where's Clefairy's voice?,1999
2385,Diane Wolkstein,0060908548,9780060908546,,Harper & Row,"Inanna, queen of heaven and earth: her stories and hymns from Sumer",1983
2386,,0028606353,9780028606354,,Frommer,Frommer's frugal traveler's guides: Europe from $50 a day,1995
2387,Janet Fitch,0316182540,9780316182546,,"Little, Brown and Company",White oleander: a novel,2001
2388,Emmanuel (Spirit),0553343874,9780553343878,,Bantam Books,Emmanuel's book: a manual for living comfortably in the cosmos,1987
2389,Richard Dalby,0881845906,9780881845907,en,Carroll & Graf Pub,The Mammoth Book Of Ghost Stories,1990
2390,Dorothy Garlock,0446355224,9780446355223,,Grand Central Publishing,Midnight blue,1989
2391,William Hoffman,0061030953,9780061030956,,,Wild thorn,
2392,David Foster Wallace,0316919896,9780316919890,en,"Little, Brown",A Supposedly Fun Thing I'll Never Do Again: Essays And Arguments,1997
2393,Jonathan Kellerman,0553299506,9780553299502,,Bantam,Private eyes,1992
2394,Michael Connelly,0446611611,9780446611619,,Warner Books,City of bones: a novel,2003
2395,Carl Hiaasen,0446604658,9780446604659,,Warner Books,Lucky you: a novel,2003
2396,Margaret Atwood,0553282476,9780553282474,,Bantam Books,Cat's eye,1989
2397,Margaret Atwood,0449212602,9780449212608,,Fawcett Crest,The handmaid's tale,1986
2398,Stephen King,0684867621,9780684867625,,Scribner,The girl who loved Tom Gordon,1999
2399,Jonathan Kellerman,0451147375,9780451147370,,New American Library,Blood test,1987
2400,Jonathan Kellerman,0345413903,9780345413901,,Ballantine Books,The murder book,2003
2401,Jonathan Kellerman,0451178033,9780451178039,,Signet,When the bough breaks,1986
2402,Dav Pilkey,0590634275,9780590634274,,Scholastic,Captain Underpants and the attack of the talking toilets: another epic novel,1999
2403,Clive James,0330294377,9780330294379,,Pan Books Ltd,Unreliable memoirs,1986
2404,Chuck Logan,0061031569,9780061031564,,HarperTorch,Absolute zero,2003
2405,Patrick Süskind,3257228007,9783257228007,,Diogenes,Perfume: the story of a murderer,1994
2406,Iris Johansen,0553582143,9780553582147,,Bantam,Body of lies,2002
2407,Ann Rule,0743202961,9780743202961,,Free Press,"Every breath you take: a true story of obsession, revenge, and murder",2001
2408,James Rollins,0060002492,9780060002497,,Avon Books,Amazonia,2003
2409,Minette Walters,0399148620,9780399148620,,G.P. Putnam's Sons,Acid Row,2002
2410,Christopher Rice,0786866462,9780786866465,,Hyperion,A density of souls,2000
2411,Fannie Flagg,0679426159,9780679426158,,Random House,Standing in the rainbow: a novel,2002
2412,V. C. Andrews,0671020315,9780671020316,,Pocket Books,Raven,1998
2413,"Fitch, Janet",0316569321,9780316569323,,"Little, Brown",White oleander: a novel,1999
2414,Janet Fitch,0316569321,9780316569323,,"Little, Brown",White oleander: a novel,1999
2415,Ann Rule,067169071X,9780671690717,en,Simon and Schuster,"Everything She Ever Wanted: A True Story Of Obsessive Love, Murder, And Betrayal",1993
2416,William Faulkner,0679732241,9780679732242,,Vintage Books,The sound and the fury: the corrected text,1990
2417,Paul Joseph Lederer,0451117670,9780451117670,,Signet,Manitou's daughters,1982
2418,Joan Wolf,0451402251,9780451402257,,,Born of the sun,
2419,Dana Stabenow,042513301X,9780425133019,,Berkley,A cold day for murder,1992
2420,"Lawrence, R. D.",1558175326,9781558175327,,Pinnacle Books,The white puma: a novel,1990
2421,John Updike,0449214982,9780449214985,,Fawcett,Wild Horse Mesa,1988
2422,Lilian Jackson Braun,0515090174,9780515090178,,Jove Books,The cat who could read backwards,1986
2423,Lilian Jackson Braun,0515095826,9780515095821,en,Penguin,The Cat Who Knew Shakespeare,1988
2424,Lilian Jackson Braun,0515111279,9780515111279,,Jove Books,The cat who wasn't there,1993
2425,Agatha Christie,0671555235,9780671555238,,,A Caribbean mystery,
2426,Tiffanie DeBartolo,1570719586,9781570719585,,Sourcebooks Landmark,God-shaped hole: a novel,2002
2427,Ryszard Kapuściński,3492232981,9783492232982,,Piper,Afrikanisches Fieber: Erfahrungen aus vierzig Jahren,2001
2428,Kent Anderson,0553580876,9780553580877,,Bantam,Sympathy for the devil,2000
2429,Margaret Atwood,0385475713,9780385475716,,Nan A. Talese,Alias Grace,1996
2430,T. Lobsang Rampa,0345290232,9780345290236,en,Ballantine Books,The Third Eye; The Autobiography Of A Tibetan Lama,1980
2431,William Bernhardt,0345441753,9780345441751,,Ballantine Books,Criminal intent,2003
2432,Ben Bova,0425045250,9780425045251,,Berkley,The exiles trilogy: three novels,1980
2433,Naomi Shihab Nye,0689825234,9780689825231,en,Simon and Schuster,Habibi,1999
2434,Daniel Quinn,0553375407,9780553375404,,Bantam/Turner Book,Ishmael,1995
2435,David J. Tacey,1863714081,9781863714082,,HarperCollinsPublishers,Edge of the sacred: transformation in Australia,1995
2436,Umberto Eco,0151006903,9780151006908,,"Harcourt, Inc.",Baudolino,2002
2437,Todd James Pierce,1931561281,9781931561280,,MacAdam/Cage Pub.,The anomalies: a novel,2003
2438,Kathleen Ann Goonan,038080350X,9780380803507,,,Crescent city rhapsody,
2439,Jeanette Winterson,0679744479,9780679744474,,Vintage Books,Written on the body,1994
2440,Danielle Steel,8401466350,9788401466359,,"Plaza & Janes Editores, S.A.",Five days in Paris: a novel,1996
2441,Valerie Tripp,1562477676,9781562477677,,Pleasant Company Publications,Molly takes flight,1999
2442,Christoph Lees,0789414708,9780789414700,,DK Pub.,Pregnancy and birth: your questions answered,1997
2443,Dean Ray Koontz,0425115801,9780425115800,,Berkley,Lightning,1988
2444,John Saul,0345454073,9780345454072,,Ballantine Books,The homing,2002
2445,Val McDermid,0312983654,9780312983659,,St. Martin's Minotaur,The wire in the blood,2002
2446,Stephen King,0671024248,9780671024246,,Pocket Books,Hearts in Atlantis,2000
2447,Dean Ray Koontz,0553582933,9780553582932,,Bantam,Winter moon,2001
2448,Julie Garwood,0671034022,9780671034023,,Pocket Books,Mercy,
2449,Madeleine L'Engle,0440208149,9780440208143,,Dell Pub.,An acceptable time,1990
2450,Stephen King,0451151259,9780451151254,,New American Library,The eyes of the dragon: a story,1988
2451,Ann Packer,0375727132,9780375727139,,Vintage Contemporaries,The dive from Clausen's pier,2003
2452,David Baldacci,0446607711,9780446607711,,Warner Books,The simple truth,1999
2453,Gregory Frost,0765301954,9780765301956,,Tor Books,Fitcher's brides,2003
2454,Larry Millett,014029645X,9780140296457,,Penguin (Non-Classics),"Sherlock Holmes and the rune stone mystery: from the American chronicles of John H. Watson, M.D",2000
2455,Vilhelm Moberg,0445085614,9780445085619,,Warner Books> C/o Little Br,The emigrants: a novel,1951
2456,Orson Scott Card,0345416880,9780345416889,en,Del Rey Books,Enchantment,2000
2457,Charles de Lint,0312874006,9780312874001,,Orb,Angel of darkness,2002
2458,Gail Diven,0028621239,9780028621234,,Alpha,The complete idiot's guide to knitting and crocheting,1999
2459,Edith Wharton,1593080743,9781593080747,,Barnes & Noble Classics,The age of innocence,2004
2460,TME,0380771292,9780380771295,,Eos,"Black thorn, white rose",1995
2461,Ellen Datlow,0380771292,9780380771295,,Eos,"Black thorn, white rose",1995
2462,Terri Windling,0380771292,9780380771295,,Eos,"Black thorn, white rose",1995
2463,Stephen Alter,0805051589,9780805051582,en,Henry Holt & Company,All The Way To Heaven: An American Boyhood In The Himalayas,1998
2464,Ellen Datlow,0312314256,9780312314255,,St. Martin's Griffin,The year's best fantasy &amp;amp; horror,2003
2465,Michael Moorcock,0445202718,9780445202719,,Not Avail,"Gloriana: or, the unfulfill'd queen: being a romance",1986
2466,Vikram Chandra,0316136778,9780316136778,,Back Bay Books,Love and longing in Bombay: stories,1998
2467,Chitra Banerjee Divakaruni,0385483503,9780385483506,en,Anchor,Arranged Marriage: Stories,1996
2468,Anna Sewell,0590486101,9780590486101,,Scholastic Inc.,Black Beauty,1994
2469,Louise Erdrich,0060187271,9780060187279,,HarperCollins,The last report on the miracles at Little No Horse,2001
2470,Chitra Banerjee Divakaruni,0385497288,9780385497282,,Anchor Books,The unknown errors of our lives: stories,2002
2471,Chitra Banerjee Divakaruni,038548951X,9780385489515,en,Anchor,Sister Of My Heart,2000
2472,Bill Slavicsek,0345386256,9780345386250,,Ballantine Books,A guide to the Star wars universe,1994
2473,Tanith Lee,0879517980,9780879517984,,Overlook TP,The book of the dead,1997
2474,Richard L. Anderson,0131554255,9780131554252,,Prentice Hall,Calliope's sisters: a comparative study of philosophies of art,1990
2475,Jean-Paul Sartre,0679725164,9780679725169,,Vintage International,"No exit, and three other plays",1973
2476,Sara Pritchard,061830245X,9780618302451,,Houghton Mifflin,Crackpots,2003
2477,Ursula K. Le Guin,006015456X,9780060154561,,Harper & Row,Always coming home,1985
2478,Hermann Hesse,0312278675,9780312278670,,Picador,Steppenwolf,2002
2479,Neal Stephenson,0060512806,9780060512804,,Avon,Cryptonomicon,2002
2480,Aldous Huxley,0060901012,9780060901011,,,Brave new world revisited,
2481,Louise Erdrich,0060930071,9780060930073,,Harper Perennial,The antelope wife: a novel,1999
2482,Louise Erdrich,0060972459,9780060972455,,HarperFlamingo,Tracks: a novel,1998
2483,Hermann Hesse,0805012478,9780805012477,,Henry Holt,Steppenwolf,
2484,Louise Erdrich,0060975547,9780060975548,,Perennial,Love medicine: a novel,2001
2485,Amit Chaudhuri,0375704000,9780375704000,,Alfred A. Knopf,Freedom song: three novels,1999
2486,Rosalind Miles,0609806505,9780609806500,,Three Rivers Press,Guenevere: queen of the summer country: a novel,2000
2487,Stanley Gordon West,0965624773,9780965624770,,Lexington-Marshall Pub.,Finding Laura Buggs,1999
2488,Louise Erdrich,0060977507,9780060977504,,Perennial,The beet queen: a novel,2001
2489,Barry Holstun Lopez,055326396X,9780553263961,en,Bantam,Arctic Dreams: Imagination And Desire In A Northern Landscape,1987
2490,Emily Brontë,0812505166,9780812505160,,Tor Classics,Wuthering Heights,1989
2491,Sarah Caudwell,0440234824,9780440234821,,,The Sibyl in her grave,
2492,Irvine Welsh,0393312801,9780393312805,,Norton,The acid house,1995
2493,David Baldacci,0446525804,9780446525800,,Warner Books,Last man standing,2001
2494,Nelson DeMille,0446516570,9780446516570,,Warner Books,Up country,2002
2495,Phyllis Gotlieb,0312868308,9780312868307,,Tor Books,Flesh and gold,1999
2496,Diana L. Paxson,0380752298,9780380752294,,,The white raven,
2497,Gail Godwin,0345434773,9780345434777,en,"Random House Digital, Inc.",Evensong,2000
2498,Wynema McGowan,0786005998,9780786005994,,Pinnacle,Dare to dream,1998
2499,Richard Wagamese,0385254520,9780385254526,,,Keeper'n me,
2500,"Haas, Robert",0060170441,9780060170448,,HarperCollins,"Eat smart, think smart: how to use nutrients and supplements to achieve maximum mental and physical performance",1994
2501,Wilma Yeo,0590431536,9780590431538,,Scholastic Paperbacks,The girl in the window,1995
2502,Chérie Carter-Scott,0712646221,9780712646222,,Century,Negaholics: overcome your lack of confidence and live the life you really want to,1991
2503,Barbara Delinsky,0749318368,9780749318369,en,Vintage,Suddenly,1993
2504,Catherine Coulter,0515122491,9780515122497,,Jove,The maze,1998
2505,Jayne Ann Krentz,051512902X,9780515129021,,Jove Books,After dark,2000
2506,,0812530314,9780812530315,,Tor Books,Grey beginning,1992
2507,Deric Longden,0552138223,9780552138222,,Corgi Books,The cat who came in from the cold,1992
2508,J. D. Robb,0515131091,9780515131093,,Jove Books,Out of this world,2001
2509,Laurell K. Hamilton,0515131091,9780515131093,,Jove Books,Out of this world,2001
2510,Susan Krinard,0515131091,9780515131093,,Jove Books,Out of this world,2001
2511,Maggie Shayne,0515131091,9780515131093,,Jove Books,Out of this world,2001
2512,Katy Munger,0380791382,9780380791385,,Avon,Out of time: a Casey Jones mystery,1998
2513,Alex Dingwall-Main,0091880955,9780091880958,,Ebury Press,The Luberon garden,2002
2514,Tony Buzan,0563537329,9780563537328,,BBC Books,The mind map book: how to use radiant thinking to maximize your brain's untapped potential,2000
2515,Barry Buzan,0563537329,9780563537328,,BBC Books,The mind map book: how to use radiant thinking to maximize your brain's untapped potential,2000
2516,Si Li,0563537329,9780563537328,,BBC Books,The mind map book: how to use radiant thinking to maximize your brain's untapped potential,2000
2517,Jose Luis Sampedro,8401427177,9788401427176,,"Plaza & Janes Editores, S.A.",La vecchia sirena,1998
2518,"Durrell, Lawrence.",8435015521,9788435015523,,Edhasa,Justine,1999
2519,Jan Karon,0140265686,9780140265682,,Penguin Books,Out to Canaan,1998
2520,Jan Karon,0140257934,9780140257939,,Penguin Books,"These high, green hills",1997
2521,Jan Karon,0140254544,9780140254549,,Penguin Books,A light in the window,1996
2522,Octavia E. Butler,0446603708,9780446603706,,Warner Books,Clay's ark,1996
2523,Octavia E. Butler,0446606723,9780446606721,,Warner Books,Wild seed,1999
2524,George Orwell,0451524934,9780451524935,,Signet Classic,Nineteen eighty-four: a novel,1950
2525,Gloria Naylor,0679721819,9780679721819,,Vintage Books,Mama Day,1989
2526,Mary Bray Pipher,0345392825,9780345392824,,Ballantine Books,Reviving Ophelia: saving the selves of adolescent girls,2001
2527,John O'Donohue,0060182792,9780060182793,en,Harper,Anam Cara: A Book Of Celtic Wisdom,1997
2528,Jonathan D. Spence,0393038440,9780393038446,,W.W. Norton,God's Chinese son: the Taiping Heavenly Kingdom of Hong Xiuquan,1996
2529,Janet Kessel Fletcher,0737020121,9780737020120,,Time-Life Books,Cooking for yourself,1999
2530,Truman Capote,0679745645,9780679745648,,Vintage Books,"Other voices, other rooms",1994
2531,Sue Townsend,1569470901,9781569470909,,Soho,Rebuilding Coventry: a tale of two cities,1997
2532,Mary Higgins Clark,0671027123,9780671027124,,Pocket Star Books,All through the night,1999
2533,Roddy Doyle,0375412972,9780375412974,,A.A. Knopf,Yeats is dead!: a mystery by fifteen Irish writers,2001
2534,Ken Follett,0449225151,9780449225158,,Ballantine,A place called freedom,1995
2535,Bernard Cornwell,0449225151,9780449225158,,Ballantine,A place called freedom,1995
2536,Rita Golden Gelman,0590449737,9780590449731,,Scholastic,Body battles,1992
2537,Alfred Huang,0892816562,9780892816569,,Inner Traditions,The complete I ching: the definitive translation,1998
2538,Tulku Thondup Rinpoche,8440691475,9788440691477,,Ediciones B,"The healing power of mind: simple meditation exercises for health, well-being, and enlightenment",2000
2539,Tracy Chevalier,8466307982,9788466307987,,Punto de Lectura,Girl with a pearl earring,2002
2540,Orson Scott Card,0765342405,9780765342409,,STARSCAPE,Ender's shadow,2002
2541,Orson Scott Card,844062719X,9788440627193,,Ediciones B,Songmaster,1993
2542,Antonio Orejudo,8420441732,9788420441733,,Alfaguara,Ventajas de viajar en tren,2000
2543,Marion Zimmer Bradley,0345350499,9780345350497,,Ballantine Books,The mists of Avalon,1984
2544,Ray Bradbury,844507119X,9788445071199,,Minotauro,Fahrenheit 451,1997
2545,Holly Black,0689837070,9780689837074,,Simon & Schuster (Trade Division),Tithe: a modern faerie tale,2003
2546,Christopher Golden,0671041177,9780671041175,,Pocket Books,Immortal: a Buffy the vampire slayer novel,1998
2547,Nancy Holder,0671041177,9780671041175,,Pocket Books,Immortal: a Buffy the vampire slayer novel,1998
2548,Julian Marias,8466300708,9788466300704,,Suma de Letras,Tomorrow in the battle think on me,2000
2549,Janet Evanovich,0312976275,9780312976279,,St. Martin's Press,Hot six,2000
2550,Jane Green,0767905180,9780767905183,,Broadway,Jemima J.: a novel about ugly ducklings and swans,2001
2551,Linda Howard,0743482891,9780743482899,,Pocket Books,Now you see her,2003
2552,Janet Dailey,037383232X,9780373832323,,harlequin,Sweet promise,1991
2553,Linda Howard,1551666200,9781551666204,,Mira,Sarah's child,2000
2554,Nora Roberts,0373242328,9780373242320,,Silhouette Books,The perfect neighbor,1999
2555,Debra Salonen,0373709102,9780373709106,,Harlequin Books,That cowboy's kids,2000
2556,Sandra Brown,0517077744,9780517077740,,Wings Books,Mirror image,1992
2557,Charles Dickinson,0449210197,9780449210192,,Fawcett,Crows: a novel,1986
2558,Fay Robinson,0373709617,9780373709618,en,,Coming Home To You,2001
2559,Nora Roberts,0373510225,9780373510221,,Silhouette Books,Sullivan's woman,1992
2560,Lee Magner,0373301529,9780373301522,,Silhouette,Mustang man,1988
2561,Marie Ferrarella,0373273193,9780373273195,,Silhouette Books,Racing against time,2003
2562,Pamela Bauer,0373301626,9780373301621,,Silhouette,His and Hers (Western Lovers: Ranchin' Dads #14),1987
2563,Kim Mckade,0373271867,9780373271863,,Silhouette,That kind of girl,2001
2564,Nora Roberts,0373240228,9780373240227,,Silhouette,The fall of Shane MacKade,1996
2565,J. K. Rowling,059035342X,9780590353427,,Scholastic Paperbacks,Harry Potter and the sorcerer's stone,2016
2566,Katherine Garbera,0373764146,9780373764143,,Silhouette,The tycoon's temptation,2002
2567,Donna Kauffman,037325928X,9780373259281,,Harlequin,Walk on the wild side,2001
2568,Sandra Brown,0446529788,9780446529785,,Warner Books,A kiss remembered,2002
2569,Sandra Brown,044652767X,9780446527675,,Warner Books,Seduction by design,2001
2570,Mary Higgins Clark,0743246918,9780743246910,,,Silent night: a novel,1995
2571,Annette Broadrick,0373301847,9780373301843,,Silhouette,Return to yesterday,1987
2572,Judith Bowen,0373708351,9780373708352,,Harlequin,The doctor's daughter,1999
2573,Heather Graham Pozzessere,1551664690,9781551664699,,Mira,The di Medici bride,1999
2574,Ron Burke,0789491869,9780789491862,,Dorling Kindersley,"Top 10 Washington, D.C",2003
2575,Jayne Ann Krentz,0373835426,9780373835423,,Harlequin,Witchcraft,2003
2576,Nancy Warren,0373691157,9780373691159,,Harlequin,Hot off the press,2003
2577,Rebecca Flanders,0373301537,9780373301539,,Harlequin,Painted sunsets,1987
2578,Jamie Denton,0373258674,9780373258673,,Harlequin,Valentine fantasy,2000
2579,,037330174X,9780373301744,,Harlequin,"Wellspring (Western Lovers, 26)",1998
2580,Suzanne Simmons,0312968256,9780312968250,,St. Martin's Press,Lady's man,1999
2581,Diane Farr,0451205650,9780451205650,,Signet,The fortune hunter,2002
2582,Anita Shreve,0316089699,9780316089692,,Back Bay Books,Sea glass: a novel,2003
2583,Robyn Carr,1551669404,9781551669403,,Mira,Just over the mountain,2002
2584,Margot Dalton,0373708319,9780373708314,,Harlequin Books,A man I used to know,1999
2585,Margaret Way,0373706545,9780373706549,,Harlequin Books,Done driftin',1976
2586,Kate Welsh,0373871945,9780373871940,,Steeple Hill,Mountain laurel,2002
2587,Clive Cussler,0671671138,9780671671136,,Pocket Books,Treasure: a novel,1988
2588,Robin A. White,0449287092,9780449287095,,Ballantine Books,The sword of Orion,1995
2589,Richard Parry,0671700081,9780671700089,,Pocket,Ice Warrior,1991
2590,Richard P. Henrick,0821724231,9780821724231,en,,Beneath The Silent Sea,1988
2591,H. Jay Riker,0380804670,9780380804672,,Avon,The silent service,2001
2592,Jean Heller,0812516192,9780812516197,,,Maximum impact,
2593,"Wilson, George C.",0425109267,9780425109267,,Berkley Books,"Supercarrier: an inside account of life aboard the world's most powerful ship, the USS John F. Kennedy",1992
2594,Layne Heath,0380710005,9780380710003,,Avon Books,CW2,1991
2595,"Thomas, Craig.",0553126911,9780553126914,,Bantam,Wolfsbane: a novel,1979
2596,Harry Homewood,055320923X,9780553209235,,Bantam,Silent sea,1984
2597,Susanna Tamaro,8880892207,9788880892205,,Baldini & Castoldi,Anima mundi,1997
2598,J. D. Salinger,8806163698,9788806163693,,Einaudi,The catcher in the rye,2003
2599,Sibilla Aleramo,8807810360,9788807810367,,Feltrinelli,A woman,1996
2600,Noah Gordon,8466302263,9788466302265,,Punto de Lectura,The last Jew,2003
2601,Jean Craighead George,0140348107,9780140348101,,Puffin Books,My side of the mountain,1991
2602,June Stepansky,0884092097,9780884092094,,A Different Voice Publishing Co.,Kaleidoscope,2000
2603,June Stepansky,0884092119,9780884092117,,A Different Voice Publishing Co.,A Different Voice,2001
2604,Willa Cather,0803263724,9780803263727,,University of Nebraska Press,My Ántonia,1997
2605,Laura Lippman,0060506679,9780060506674,,William Morrow,Every secret thing,2003
2606,Philip Roth,0375701427,9780375701429,,Vintage Books,American pastoral,1998
2607,William Styron,0553135457,9780553135459,,Bantam,Sophie's choice,
2608,Mark Twain,0812504364,9780812504361,,Aerie,A Connecticut Yankee in King Arthur's Court,1991
2609,Roger Zelazny,0380000830,9780380000838,,Avon,The guns of Avalon,1974
2610,Roger Zelazny,0380014300,9780380014309,,Avon,Nine princes in Amber,1972
2611,Malcolm Hillier,0895773570,9780895773579,en,Readers Digest,Flower Arranging,1990
2612,Peter Mayle,0330312367,9780330312363,,Pan,A year in Provence,1990
2613,Terry Pratchett,2277238929,9782277238928,,Editions 84,De bons présages,1997
2614,Pierre Sansot,2743606789,9782743606787,,Payot,Du bon usage de la lenteur,2000
2615,Anne Frank,2253001279,9782253001270,,Calmann-Lévy,Das Tagebuch der Anne Frank: 14. Juni 1942-1. August 1944,2001
2616,Patrick Süskind,2253047422,9782253047421,,Librairie Artheme Fayard,The pigeon,1987
2617,Primo Levi,8806160427,9788806160425,,Einaudi,L'ultimo Natale di guerra,2003
2618,Louis L'Amour,0553255142,9780553255140,,Bantam,The man from the broken hills,1975
2619,Gabriel García Márquez,9500703203,9789500703208,,Sudamericana,Love in the time of cholera,1987
2620,Edith Grossman,9500703203,9789500703208,,Sudamericana,Love in the time of cholera,1987
2621,Fengguang Jiang,9500703203,9789500703208,,Sudamericana,Love in the time of cholera,1987
2622,Zongcao Jiang,9500703203,9789500703208,,Sudamericana,Love in the time of cholera,1987
2623,Gabriel Garcia Marquez,843760494X,9788437604947,,Cátedra,Cien años de soledad,2004
2624,Cristina Garcia,0345406516,9780345406514,,Ballantine Publishing Group,The Agüero sisters,1998
2625,Naomi Ragen,0312281250,9780312281250,en,Macmillan,The Ghost Of Hannah Mendes: A Novel,2001
2626,Janet Wallach,0385490461,9780385490467,,Nan A. Talese,Seraglio,2003
2627,Isabel Allende,0060936363,9780060936365,,Harper Perennial,Portrait in sepia: a novel,2002
2628,Isabel Allende,038082101X,9780380821013,,HarperTorch,Daughter of fortune: a novel,2001
2629,Angela Elwell Hunt,0849943663,9780849943669,,W Pub. Group,The pearl,2003
2630,Nora Roberts,3453099613,9783453099616,,Heyne,Schatten über den weiden: roman,1996
2631,Orson Scott Card,1574534106,9781574534108,,,Shadow of the Hegemon,
2632,Carolyn G. Hart,0380977745,9780380977741,,William Morrow,April fool dead: a death on demand mystery,2002
2633,Jack Canfield,1558747028,9781558747029,,Health Communications,Chicken soup for the college soul: inspiring and humorous stories about college,1999
2634,"Collier, Michael",0618050140,9780618050147,,Houghton Mifflin,The ledge,2000
2635,Barbara Pronin,0312774842,9780312774844,en,St. Martin's Griffin,Substitute Teaching: A Handbook For Hassle-Free Subbing,1983
2636,Heather Arnel Paulsen,1579213405,9781579213404,,WinePress Pub.,Emotional purity: an affair of the heart,2001
2637,Stephen R. Covey,0671708635,9780671708634,,Free Press,The seven habits of highly effective people: restoring the character ethic,2003
2638,Agatha Christie,0812970101,9780812970104,,Modern Library,The mysterious affair at Styles: a Hercule Poirot mystery,2003
2639,Joseph O'Connor,0375727566,9780375727566,,Vintage,Yeats is dead!: a mystery by fifteen Irish writers,2002
2640,Joseph O'Connor,0375727566,9780375727566,,Vintage,Yeats is dead!: a mystery by fifteen Irish writers,2002
2641,Roddy Doyle,0375727566,9780375727566,,Vintage,Yeats is dead!: a mystery by fifteen Irish writers,2002
2642,Anne Burton,0373630468,9780373630462,,harlequin,Worse than a crime,1982
2643,Frances Fyfield,0671676652,9780671676650,en,Pocket,A Question Of Guilt,1990
2644,Dorothy Simpson,0553250655,9780553250657,,,Puppet for a corpse,
2645,Connie May Fowler,0399139125,9780399139123,,Putnam's,River of hidden dreams,1994
2646,Tom Robbins,0553377884,9780553377880,,Bantam Books,Skinny legs and all,2003
2647,Halim Tunku,9679787834,9789679787832,,Pelanduk Publications,Vermillion eye: a chiller of a thriller that will shock you to the bone,2000
2648,Charles Schwab,0609605623,9780609605622,,Crown Business,You're fifty-- now what?: investing for the second half of your life,2001
2649,Leslie Glass,0451195507,9780451195500,,Signet,Judging time,1999
2650,Barbara Taylor Bradford,0061012289,9780061012280,en,Avon,A Secret Affair,1997
2651,Barbara Parker,0451195493,9780451195494,,Penguin Group,Suspicion of deceit,1999
2652,Barbara Parker,0451195493,9780451195494,,Penguin Group,Suspicion of deceit,1999
2653,Barbara Taylor Bradford,0061092088,9780061092084,,Harper Paperbacks,Dangerous to know,
2654,Tom Clancy,0425162788,9780425162781,,Berkley,Tom Clancy's power plays,1997
2655,Stuart Woods,0451208811,9780451208811,en,Penguin,Blood Orchid,2003
2656,Arto Paasilinna,3404920910,9783404920914,,Lübbe,La forêt des renards pendus,2001
2657,Alessandro Baricco,2070419878,9782070419876,,Gallimard,Novecento: un monologo,2002
2658,Ray Bradbury,0345342968,9780345342966,,Ballantine Books,Fahrenheit 451,1988
2659,Richard Dawkins,0192860925,9780192860927,,Oxford University Press,The selfish gene,1999
2660,Orson Scott Card,0812550706,9780812550702,,Tor,Ender's game,1991
